marque,annee,prix,adress,proprietaire
Chevrolet,2016,25000.0,"Almadies,Dakar",Par Moustapha SAMBA
Ford,2019,55000.0,"Hann Maristes,Dakar",Par DIOP .
Hyundai,2014,25000.0,"Amitié,Dakar",Par peezy .
Ford,2016,35000.0,"Dieuppeul Derklé,Dakar",Par Lendom  Zefff
Ford,2014,30000.0,"Médina,Dakar",Par Cheikh .
Toyota,2018,30000.0,"Hann Bel-Air,Dakar",Par PAPIEX .
Peugeot,2012,25000.0,"Mamelles,Dakar",Par Auto business  Dakar
Ford,2016,40000.0,"Yoff,Dakar",Par Babacar ba  résidence
Hyundai,2016,30000.0,"Liberté 4,Dakar","Par Caroline ,"
Hyundai,2013,30000.0,"Nord Foire,Dakar",Par Julie  Campara
Toyota,2021,70000.0,"Ouakam,Dakar",Par SYLLA BUSINESS  GROUP
Toyota,2016,50000.0,"Grand-Dakar,Dakar",Par Bouly  DIEDHIOU
Ford,2016,60000.0,"Yoff,Dakar",Par A vos  services
Mercedes,2016,60000.0,"Yoff,Dakar",Par A vos  services
Ford,2014,35000.0,"Ouakam,Dakar",Par SYLLA BUSINESS  GROUP
Hyundai,2013,60000.0,"Ouakam,Dakar",Par SYLLA BUSINESS  GROUP
Ford,2013,35000.0,"Mermoz Sacré-Coeur,Dakar",Par Originodesign  Market
Hyundai,2013,25000.0,"VDN,Dakar",Par MODOU  LO
Ford,2014,30000.0,"Plateau,Dakar",Par Abibatou  Diop
Ford,2016,35000.0,"VDN,Dakar",Par MODOU  LO
Ford,2016,25000.0,"Médina,Dakar",Par SEN  BAZAR
Ford,2013,30000.0,"Fass,Kaolack",Par Easy_Trip_ Sen
Toyota,2014,20000.0,"Fass,Kaolack",Par Easy_Trip_ Sen
Ford,2016,20000.0,"Yoff,Dakar",Par A vos  services
Citroen,2019,25000.0,"Yoff,Dakar",Par A vos  services
Peugeot,2012,20000.0,"Keur Massar,Dakar",Par Lamine  Djitte
Ford,2016,35000.0,"Almadies,Dakar",Par ahmad .
Ford,2012,35000.0,"Parcelles Assainies,Dakar",Par XLOC .
Nissan,2016,35000.0,"Parcelles Assainies,Dakar",Par XLOC .
Hyundai,2015,30000.0,"Yoff,Dakar",Par Penda NDIAYE
Kia,2016,25000.0,"Ngor,Dakar",Par Alcine .
Hyundai,2018,50000.0,"Sicap Liberté,Dakar",Par Khardiata  LY
Jeep,2020,100000.0,"Sicap Liberté,Dakar",Par Khardiata  LY
Kia,2016,30000.0,"Yoff,Dakar",Par A vos  services
Kia,2016,40000.0,"Yoff,Dakar",Par Abdia ...
Hyundai,2016,40000.0,"Liberté 2,Dakar",Par SEN  BAZAR
Peugeot,2016,25000.0,"Ngor,Dakar",Par J. M
Toyota,2016,30000.0,"Yoff,Dakar",Par A vos  services
Hyundai,2016,25000.0,"Sicap Foire,Dakar",Par AMautomobile .
Chevrolet,2016,30000.0,"Cité Keur gorgui,Dakar",Par Augustin  Ndiaye
Peugeot,2017,3.0,"Parcelles Assainies,Dakar",Par Rasta Gadio
Mitsubishi,2016,20000.0,"Ouakam,Dakar",Par LOCA VOITURE  DAKAR
Toyota,2012,40000.0,"Hann Maristes,Dakar",Par travelsencar ..
Ford,2014,35000.0,"Mermoz Sacré-Coeur,Dakar",Par Originodesign  Market
Mercedes,2016,100000.0,"Mamelles,Dakar",Par Start& Drive
Hyundai,2016,25000.0,"Yoff,Dakar",Par MBD  VOITURE
Nissan,2016,40000.0,"Ouakam,Dakar",Par LOCA VOITURE  DAKAR
Ford,2016,35000.0,"Grand-Yoff,Dakar",Par Transcar via  Sénégal
Mitsubishi,2015,35000.0,"Yoff,Dakar",Par A vos  services
Hyundai,2015,40000.0,"Yoff,Dakar",Par Abdia ...
Volkswagen,2018,20000.0,"Grand-Dakar,Dakar",Par A vos  services
Ford,2013,35000.0,"Mermoz Sacré-Coeur,Dakar",Par A-T Auto
Ford,2017,35000.0,"Grand-Yoff,Dakar",Par Transcar via  Sénégal
Ford,2014,40000.0,"Ouest Foire,Dakar",Par Optimus Debugger
Ford,2019,60000.0,"Hann Bel-Air,Dakar",Par PAPA .
Nissan,2016,40000.0,"Hann Bel-Air,Dakar",Par PAPA .
Mercedes,2010,,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Mercedes,2018,170000.0,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Land,2020,150000.0,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Volkswagen,2016,20000.0,"Plateau,Dakar",Par Senegal TCS  ventes et locations
Nissan,2012,25000.0,"Yoff,Dakar",Par A vos  services
Renault,2017,,"Yoff,Dakar",Par A vos  services
Peugeot,2016,,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Mercedes,2010,,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Toyota,2020,,"Mermoz Sacré-Coeur,Dakar",Par Mapauto sn
Peugeot,2012,25000.0,"Sicap Liberté,Dakar",Par KINGCARS  Service
Ford,2013,40000.0,"Sicap Liberté,Dakar",Par KINGCARS  Service
Ford,2013,40000.0,"Sicap Liberté,Dakar",Par KINGCARS  Service
Ford,2016,60000.0,"Médina,Dakar",Par Kena Impact  Groupes
Mercedes,2016,15000.0,"Hann Bel-Air,Dakar",Par Kena Impact  Groupes
Hyundai,2014,25000.0,"Médina,Dakar",Par Kena Impact  Groupes
Ford,2017,30000.0,"Point-E,Dakar",Par Ousmane diagne
Ford,2017,25000.0,"Ouest Foire,Dakar",Par Logivit  Express
Nissan,2012,25000.0,"Yoff,Dakar",Par A vos  services
Mazda,2013,30000.0,"Yoff,Dakar",Par A vos  services
Citroen,2019,25000.0,"Yoff,Dakar",Par A vos  services
Dodge,2013,20000.0,"Yoff,Dakar",Par A vos  services
Chevrolet,2012,30000.0,"Yoff,Dakar",Par A vos  services
Mazda,2013,30000.0,"Yoff,Dakar",Par A vos  services
Hyundai,2016,20000.0,"Yoff,Dakar",Par A vos  services
Dodge,2012,30000.0,"Yoff,Dakar",Par A vos  services
Hyundai,2017,35000.0,"Yoff,Dakar",Par Abdia Sn
Ford,2012,40000.0,"Sicap Liberté,Dakar",Par KINGCARS  Service
Ford,2013,30000.0,"Sicap Liberté,Dakar",Par KINGCARS  Service
